Country,number
United States of America,12930
Russia,5552
China,4630
India,2263
South Korea,1585
Turkey,1573
Pakistan,1531
Japan,1444
Saudi Arabia,1407
France,1253
Egypt,1103
United Kingdom,996
Iran,973
North Korea,960
Greece,855
Taiwan,814
Italy,712
Germany,662
Israel,618
Spain,570
United Arab Emirates,510
Brazil,473
Syria,470
Poland,469
Indonesia,465
Australia,433
Canada,417
Ukraine,326
Iraq,285
Vietnam,271
Venezuela,263
Jordan,255
Singapore,252
Philippines,229
Sweden,207
Qatar,205
Belarus,199
Netherlands,183
Switzerland,178
Azerbaijan,176
Romania,165
Finland,158
Austria,129
Malaysia,122
Norway,104
Armenia,65
Hungary,65
