Country,number
USA,20
China,4
France,4
Japan,4
South Korea,2
Italy,2
Australia,2
Egypt,2
Russia,1
United Kingdom,1
Spain,1
Brazil,1
India,1
Poland,0
Germany,0
Turkey,0
Israel,0
Saudi Arabia,0
Iran,0
Pakistan,0
North Korea,0
Ukraine,0
Syria,0
Sweden,0
Canada,0
Azerbaijan,0
Armenia,0
Indonesia,0
Greece,0
Switzerland,0
Norway,0
Philippines,0
Malaysia,0
Netherlands,0
Hungary,0
Romania,0
Austria,0
United Arab Emirates,0
Singapore,0
Finland,0
Taiwan,0
Qatar,0
Vietnam,0
Jordan,0
Venezuela,0
Iraq,0
Belarus,
