Country,number,year
United States,2,1945
United States,9,1946
United States,13,1947
United States,50,1948
United States,170,1949
United States,299,1950
United States,438,1951
United States,841,1952
United States,"1,169",1953
United States,"1,703",1954
United States,"2,422",1955
United States,"3,692",1956
United States,"5,543",1957
United States,"7,345",1958
United States,"12,298",1959
United States,"18,638",1960
United States,"22,229",1961
United States,"25,540",1962
United States,"28,133",1963
United States,"29,463",1964
United States,"31,139",1965
United States,"31,175",1966
United States,"31,255",1967
United States,"29,561",1968
United States,"27,552",1969
United States,"26,008",1970
United States,"25,830",1971
United States,"26,516",1972
United States,"27,835",1973
United States,"28,537",1974
United States,"27,519",1975
United States,"25,914",1976
United States,"25,542",1977
United States,"24,418",1978
United States,"24,138",1979
United States,"24,104",1980
United States,"23,208",1981
United States,"22,886",1982
United States,"23,305",1983
United States,"23,459",1984
United States,"23,368",1985
United States,"23,317",1986
United States,"23,575",1987
United States,"23,205",1988
United States,"22,217",1989
United States,"21,392",1990
United States,"19,008",1991
United States,"13,708",1992
United States,"11,511",1993
United States,"10,979",1994
United States,"10,904",1995
United States,"11,011",1996
United States,"10,903",1997
United States,"10,732",1998
United States,"10,685",1999
United States,"10,577",2000
United States,"10,526",2001
United States,"10,457",2002
United States,"10,027",2003
United States,"8,570",2004
United States,"8,360",2005
United States,"7,853",2006
United States,"5,709",2007
United States,"5,273",2008
United States,"5,113",2009
United States,"5,066",2010
United States,"4,897",2011
United States,"4,881",2012
United States,"4,804",2013
United States,"4,717",2014
United States,"4,571",2015
United States,"4,018",2016
United States,"3,822",2017
United States,"3,785",2018
United States,"3,805",2019
United States,"3,750",2020
United States,"3,708",2021
United States,"3,708",2022
USSR/Russia,0,1945
USSR/Russia,0,1946
USSR/Russia,0,1947
USSR/Russia,0,1948
USSR/Russia,1,1949
USSR/Russia,5,1950
USSR/Russia,25,1951
USSR/Russia,50,1952
USSR/Russia,120,1953
USSR/Russia,150,1954
USSR/Russia,200,1955
USSR/Russia,426,1956
USSR/Russia,660,1957
USSR/Russia,863,1958
USSR/Russia,"1,048",1959
USSR/Russia,"1,627",1960
USSR/Russia,"2,492",1961
USSR/Russia,"3,346",1962
USSR/Russia,"4,259",1963
USSR/Russia,"5,242",1964
USSR/Russia,"6,144",1965
USSR/Russia,"7,091",1966
USSR/Russia,"8,400",1967
USSR/Russia,"9,490",1968
USSR/Russia,"10,671",1969
USSR/Russia,"11,736",1970
USSR/Russia,"13,279",1971
USSR/Russia,"14,600",1972
USSR/Russia,"15,878",1973
