Country,number
Russia,12270
USA,6612
North Korea,6000
China,5750
India,4614
Egypt,3789
Pakistan,3742
Syria,3507
Turkey,3017
Iran,2842
South Korea,2606
Ukraine,2105
Vietnam,1829
Israel,1650
Jordan,1588
Greece,1365
Saudi Arabia,1275
Taiwan,1160
Japan,1004
Azerbaijan,940
Poland,868
Belarus,652
Brazil,469
Romania,440
France,406
United Arab Emirates,354
Germany,328
Spain,327
Venezuela,312
Iraq,309
United Kingdom,286
Armenia,269
Indonesia,241
Finland,239
Switzerland,224
Italy,200
Hungary,176
Singapore,170
Qatar,138
Sweden,121
Canada,82
Australia,59
Austria,56
Norway,52
Malaysia,48
Philippines,18
Netherlands,18
